X,Y
93,5
94,5
95,5
96,5
97,5
98,5
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
90,7
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,7
89,8
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,8
100,8
101,8
102,8
88,9
89,9
90,9
91,9
92,9
99,9
100,9
101,9
102,9
103,9
88,10
89,10
90,10
91,10
100,10
101,10
102,10
103,10
88,11
89,11
90,11
101,11
102,11
103,11
87,12
88,12
89,12
90,12
101,12
102,12
103,12
87,13
88,13
89,13
101,13
102,13
103,13
87,14
88,14
89,14
101,14
102,14
103,14
87,15
88,15
89,15
90,15
101,15
102,15
103,15
88,16
89,16
90,16
91,16
100,16
101,16
102,16
103,16
88,17
89,17
90,17
91,17
100,17
101,17
102,17
103,17
89,18
90,18
91,18
92,18
99,18
100,18
101,18
102,18
90,19
91,19
92,19
93,19
98,19
99,19
100,19
101,19
91,20
92,20
93,20
94,20
97,20
98,20
99,20
100,20
92,21
93,21
94,21
95,21
96,21
97,21
98,21
99,21
93,22
94,22
95,22
96,22
97,22
98,22
94,23
95,23
96,23
97,23
93,24
94,24
95,24
96,24
97,24
98,24
92,25
93,25
94,25
95,25
96,25
97,25
98,25
99,25
91,26
92,26
93,26
94,26
97,26
98,26
99,26
100,26
90,27
91,27
92,27
93,27
98,27
99,27
100,27
101,27
89,28
90,28
91,28
92,28
99,28
100,28
101,28
102,28
69,29
70,29
71,29
72,29
73,29
88,29
89,29
90,29
91,29
100,29
101,29
102,29
103,29
118,29
119,29
120,29
121,29
122,29
68,30
69,30
70,30
71,30
72,30
73,30
74,30
75,30
76,30
87,30
88,30
89,30
90,30
101,30
102,30
103,30
104,30
115,30
116,30
117,30
118,30
119,30
120,30
121,30
122,30
123,30
67,31
68,31
69,31
70,31
71,31
72,31
73,31
74,31
75,31
76,31
77,31
86,31
87,31
88,31
89,31
102,31
103,31
104,31
105,31
114,31
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,31
124,31
125,31
66,32
67,32
68,32
69,32
70,32
71,32
72,32
73,32
74,32
75,32
76,32
77,32
78,32
85,32
86,32
87,32
88,32
103,32
104,32
105,32
106,32
113,32
114,32
115,32
116,32
117,32
118,32
119,32
120,32
121,32
122,32
123,32
124,32
125,32
126,32
65,33
66,33
67,33
68,33
69,33
